1stFlrSF,GarageArea,GarageYrBlt,GrLivArea,LotArea,OverallQual,TotalBsmtSF,YearBuilt,SalePrice,TotalBsmtSF_binary,GarageArea_binary,OpenPorchSF_binary
874,578,2007,1761,10207,7,874,2007,227875,1,1,1
1034,888,1976,1034,12328,6,1012,1976,169900,1,1,0
1363,439,1954,1363,39104,7,1385,1954,241500,1,1,0
1689,480,1956,1689,9855,6,1436,1956,127500,1,1,0
2113,839,1995,2113,10437,8,2109,1995,350000,1,1,1
1573,544,2002,1573,9808,7,1573,2002,227000,1,1,1
2364,820,2009,2364,12919,9,2330,2009,611657,1,1,1
1057,645,1998,2034,9375,7,1057,1997,219500,1,1,1
1291,431,1996,1291,2887,6,1291,1996,173000,1,1,0
858,0,0,858,7207,5,858,1958,116500,1,0,0
698,280,1939,1258,9060,6,560,1939,105000,1,1,0
438,246,1930,438,8400,2,290,1920,60000,1,1,0
672,440,1978,1400,7844,6,672,1978,149500,1,1,0
954,240,1938,954,6305,5,920,1938,119750,1,1,0
1445,645,1964,1445,12095,6,1127,1964,158000,1,1,0
1072,525,2005,1072,3675,6,547,2005,148000,1,1,1
1664,0,0,1664,9825,5,0,1965,100000,0,0,0
1445,441,1930,2134,11888,6,844,1916,214500,1,1,1
1940,380,1934,3194,12168,8,965,1934,359100,1,1,0
912,0,0,1824,9400,6,912,1971,139000,1,0,0
888,422,1996,1756,9303,6,872,1996,204000,1,1,1
912,576,1992,912,8872,5,912,1965,147000,1,1,1
1509,600,1988,1509,10200,6,1461,1988,175000,1,1,0
1160,216,1925,1608,6171,6,976,1925,137450,1,1,1
1316,397,2005,1316,10237,6,1316,2005,169990,1,1,0
1015,450,1925,1015,6120,5,768,1925,88000,1,1,0
756,240,1940,1134,8160,5,756,1940,126000,1,1,0
1636,865,2006,1636,13501,8,1623,2006,255000,1,1,1
660,400,2003,1320,7750,7,660,2003,162000,1,1,1
1160,538,1967,2126,28698,5,1013,1967,185000,1,1,0
1128,525,1963,1128,8700,5,1120,1963,155000,1,1,1
1306,756,1968,1306,8712,5,992,1957,153000,1,1,0
798,0,0,1344,1533,4,546,1970,97000,1,0,0
1576,704,1996,2554,10800,7,718,1890,159500,1,1,1
893,576,1985,893,9600,5,845,1949,135000,1,1,0
894,668,2007,1933,14598,6,894,2007,214000,1,1,1
672,264,1973,1218,1890,6,672,1973,113000,1,1,1
1161,534,1977,1969,11952,7,808,1977,190000,1,1,0
1220,556,1995,2090,10000,8,1220,1995,240000,1,1,1
1484,487,1971,1484,12243,5,1484,1971,175000,1,1,0
1656,506,1973,1656,9246,5,1656,1973,135000,1,1,1
818,210,1926,1224,3950,6,818,1926,115000,1,1,0
1022,390,2000,2054,12224,6,992,2000,244000,1,1,1
854,576,1991,854,6120,7,832,1929,132000,1,1,1
546,286,1973,1092,1974,4,546,1973,83500,1,1,1
1268,252,1978,1268,9286,5,1268,1977,143500,1,1,0
827,550,1996,1661,10667,7,799,1996,212000,1,1,1
1668,502,2003,1668,10635,8,1657,2003,232000,1,1,1
1493,508,1997,1493,13125,6,1478,1997,208900,1,1,1
932,306,1950,932,8280,6,932,1950,124000,1,1,0
1277,526,1970,1277,10628,7,1277,1970,167000,1,1,0
1530,630,2004,1530,14572,7,1530,2004,259000,1,1,1
1344,484,1970,1344,9503,5,1024,1958,144000,1,1,1
860,528,1996,860,8740,5,840,1982,137000,1,1,0
1314,626,2008,1314,5001,7,1314,2007,230000,1,1,1
1391,868,2006,1962,8760,7,1391,2006,239799,1,1,1
788,388,2004,1490,15384,7,788,2004,184000,1,1,1
848,420,2004,848,4426,6,848,2004,143000,1,1,0
672,240,1940,672,10200,5,672,1940,108000,1,1,0
1188,252,1941,2340,9042,7,1152,1941,266500,1,1,1
808,180,1916,1656,10410,5,660,1916,135000,1,1,0
725,484,1972,1479,7472,7,725,1972,184000,1,1,1
1226,740,2009,1226,10402,7,1226,2009,198900,1,1,1
976,444,1966,2087,12205,6,832,1966,187500,1,1,1
1158,576,2006,1158,13072,6,1158,2004,158000,1,1,1
1154,480,1966,1154,11000,5,1154,1966,154000,1,1,1
880,527,1998,1724,8924,7,880,1998,188000,1,1,1
773,431,1995,1658,8000,6,773,1995,188000,1,1,1
1126,520,2002,1126,8777,4,0,1949,108000,0,1,1
872,300,1955,1393,16466,5,816,1955,135500,1,1,0
1968,1014,1982,3447,14100,8,728,1935,381000,1,1,1
483,264,1973,987,1953,6,483,1973,83000,1,1,0
808,0,0,1355,10106,5,644,1940,127500,1,0,0
2069,505,1960,2069,27650,7,585,1960,242000,1,1,0
757,440,1999,1501,2280,7,744,1999,179400,1,1,0
1976,908,2006,1976,14977,8,1976,2006,440000,1,1,1
1563,758,2007,1563,10206,8,1563,2007,245000,1,1,1
572,288,1982,1111,5700,7,572,1926,116900,1,1,0
851,270,1931,1502,7200,7,776,1931,149000,1,1,0
1733,452,1955,1733,13680,3,0,1955,139600,0,1,0
1848,706,2006,2728,20431,9,1848,2005,437154,1,1,0
630,264,1972,1302,1680,5,630,1972,119500,1,1,0
1332,586,1979,1524,23595,7,1332,1979,260000,1,1,0
1120,680,1991,1588,17120,4,0,1959,134432,0,1,1
1125,430,2007,1125,8536,5,1125,2006,155000,1,1,1
520,480,2005,1200,3180,7,600,2005,151000,1,1,1
798,520,2004,1640,8366,6,798,2004,173000,1,1,1
1223,525,1994,2127,10944,7,1223,1994,271000,1,1,1
972,240,1948,972,8000,6,972,1948,132000,1,1,0
1142,466,1995,2020,9828,8,1128,1995,239500,1,1,1
1144,596,1956,1144,9571,5,1144,1956,129000,1,1,0
1352,288,1958,1352,6930,5,1062,1958,130000,1,1,0
926,484,1974,1316,5500,5,926,1929,130000,1,1,0
1086,592,1998,1924,12011,8,1086,1998,280000,1,1,1
1164,240,1950,1164,10880,5,1164,1950,125000,1,1,1
952,840,1988,952,7350,5,952,1951,139000,1,1,0
938,0,0,2358,5250,8,684,1872,122000,1,0,1
1680,540,1988,1680,21695,6,880,1988,222000,1,1,1
1221,672,2003,1912,10800,6,482,1905,163000,1,1,1
1004,480,1970,1004,11241,6,1004,1970,149000,1,1,0
774,305,1946,1230,4712,4,747,1946,121600,1,1,1
1167,495,1972,1167,8731,5,915,1920,144000,1,1,0
1301,440,1965,1301,6911,5,1145,1924,100000,1,1,0
1453,445,1986,1453,5271,7,1453,1986,190000,1,1,1
1601,670,2001,1601,11423,8,1581,2001,272000,1,1,0
1588,825,2006,1588,10000,8,1588,2006,227000,1,1,1
1095,264,1958,1095,10382,6,588,1958,140000,1,1,0
1050,368,1961,1050,10659,5,1050,1961,136500,1,1,1
960,432,1965,960,10921,4,960,1965,94750,1,1,0
1002,280,1954,1456,7585,5,810,1948,91500,1,1,0
1489,462,1968,1489,9156,6,1489,1968,185750,1,1,0
1726,786,2007,1726,9416,7,1726,2007,311872,1,1,1
1362,484,2003,2082,11426,7,1362,2003,200000,1,1,1
1339,484,1990,1339,8049,7,1309,1990,180000,1,1,1
1310,1069,1998,2450,16545,8,1284,1998,340000,1,1,1
879,660,2006,1863,14054,7,879,2006,219210,1,1,1
768,396,1988,768,8445,5,768,1972,133000,1,1,0
334,0,0,334,5000,1,0,1946,39300,0,0,0
1136,384,1965,1136,9200,6,1136,1965,140000,1,1,0
1337,405,1998,1337,4500,6,1237,1998,153500,1,1,1
912,288,1964,912,7800,5,912,1964,115000,1,1,0
876,264,1962,1812,7590,5,864,1962,169500,1,1,1
1052,240,1939,2192,8400,5,720,1939,179500,1,1,1
658,0,0,1184,8410,5,658,1910,81000,1,0,1
964,308,1960,1889,10120,7,925,1910,122000,1,1,0
1327,624,1974,1327,7388,5,1063,1959,150750,1,1,0
1422,576,1981,1422,12090,6,1422,1981,175500,1,1,0
1632,576,1967,1632,25000,5,1632,1967,143000,1,1,0
1630,451,2000,1630,9750,7,1630,2000,213000,1,1,1
1013,0,0,1526,8470,3,1013,1915,85000,1,0,0
1040,420,1956,1040,7200,4,0,1949,90000,0,1,0
841,216,1920,1647,6858,6,806,1915,128000,1,1,1
1328,576,1981,1981,7804,4,1122,1928,135000,1,1,1
1644,418,1953,1644,9600,6,1416,1953,167000,1,1,0
1482,868,2007,2574,9588,8,1482,2007,276000,1,1,1
1060,520,1940,1824,13515,6,764,1919,180500,1,1,0
1350,520,1964,1350,9020,6,1248,1964,168500,1,1,0
958,440,1976,958,4928,6,958,1976,143750,1,1,1
1053,370,1922,1848,13053,6,833,1923,207000,1,1,0
1620,490,1993,1620,9991,4,1281,1976,150000,1,1,1
1167,400,1992,1167,9248,6,1158,1992,173000,1,1,1
798,220,1949,1487,8741,6,735,1945,113000,1,1,1
892,288,1967,892,7150,5,892,1967,100000,1,1,0
804,240,1940,804,7200,5,788,1940,119000,1,1,0
1140,0,0,1140,17217,5,1140,2006,84500,1,0,1
983,483,1963,1796,7056,6,780,1963,140000,1,1,1
1118,551,1976,2030,12046,6,848,1976,195000,1,1,1
1026,812,2008,2007,11003,10,1017,2008,310000,1,1,1
691,216,1920,691,5400,5,691,1920,86000,1,1,1
786,676,2008,1590,9000,8,768,2008,210000,1,1,1
1216,325,1954,1855,9525,6,994,1954,136900,1,1,0
1028,442,1999,1804,7500,7,994,1999,189000,1,1,1
884,543,2003,1768,8158,7,884,2003,224900,1,1,1
1831,807,1995,3627,35760,10,1930,1995,625000,1,1,1
1298,403,1985,1298,11200,6,1298,1985,180000,1,1,1
1801,484,1959,1801,15602,7,1501,1959,289000,1,1,1
630,0,0,630,1533,5,630,1970,92000,1,0,0
1103,440,1976,1103,6000,6,1103,1925,110500,1,1,1
859,384,1964,1178,8712,4,859,1900,102776,1,1,0
1196,440,1957,1196,4800,4,1196,1916,109900,1,1,0
1372,529,2008,1372,8640,7,1372,2007,250580,1,1,1
1431,296,1962,1431,9150,6,1099,1962,165000,1,1,1
1422,626,2004,1422,8500,7,1422,2004,179600,1,1,1
1079,501,1992,1953,53107,6,1580,1992,240000,1,1,1
1121,440,2003,1121,8546,4,1121,2003,140000,1,1,1
1143,852,2004,2473,9591,8,1143,2004,317000,1,1,1
1057,576,1977,1057,7420,5,1057,1962,132000,1,1,0
1110,602,1978,1110,9101,5,1097,1978,165500,1,1,1
1164,671,1999,2270,11764,8,1152,1999,290000,1,1,1
2018,746,2009,2018,13214,9,2002,2008,378500,1,1,1
672,440,1978,1386,11616,6,672,1978,158900,1,1,0
1082,1043,2005,1953,10574,8,1082,2005,252000,1,1,1
1337,462,1993,1337,5395,8,1337,1993,180000,1,1,0
997,648,2000,2285,11000,8,969,2000,248000,1,1,1
1718,826,2007,1718,10637,8,1705,2007,297000,1,1,1
1086,484,1966,1086,13400,5,1024,1966,159950,1,1,0
1555,660,2007,1555,3684,7,1373,2007,174000,1,1,1
1902,567,1959,1902,17500,7,1902,1959,335000,1,1,1
1298,693,1990,2514,11170,7,1216,1990,250000,1,1,0
1224,528,1979,1224,7018,5,1086,1979,153337,1,1,0
1054,460,1969,1054,9750,6,1054,1969,151000,1,1,0
1276,676,1998,2612,12203,8,1225,1998,336000,1,1,0
902,288,1967,902,6173,5,876,1967,125500,1,1,0
1153,484,1983,2353,13005,7,845,1980,260000,1,1,1
689,299,1977,1392,10900,6,689,1977,161750,1,1,1
1155,576,1987,1155,11782,5,1109,1961,148000,1,1,0
1136,240,1950,1904,7200,5,1208,1950,138000,1,1,0
950,208,1929,1158,6000,6,862,1929,120000,1,1,0
751,502,1920,1362,6155,6,611,1920,128000,1,1,0
1005,429,1999,2291,8738,7,975,1999,230000,1,1,0
649,250,1920,1317,8500,4,649,1920,40000,1,1,1
1734,928,2007,1734,12085,8,1734,2007,318000,1,1,0
1194,312,1959,1194,8760,6,1194,1959,148000,1,1,0
876,720,1949,1416,12665,5,876,1915,153900,1,1,0
1383,354,1954,1383,13284,5,1383,1954,165000,1,1,1
1001,871,1949,2002,6270,5,1001,1949,145000,1,1,0
1496,474,2007,1496,9158,8,1496,2007,225000,1,1,1
984,660,1977,1604,10998,5,984,1941,117000,1,1,1
764,504,1965,764,5232,5,680,1925,73000,1,1,0
977,476,1985,1732,9206,6,741,1985,178000,1,1,1
1494,840,2006,1494,10652,7,1494,2006,279500,1,1,1
986,180,1926,986,6180,6,960,1926,102000,1,1,1
1145,397,2005,1145,3182,7,1145,2005,160200,1,1,1
742,0,0,1484,6300,6,742,1914,128000,1,0,1
1344,525,1958,1344,14375,6,819,1958,137500,1,1,1
958,686,1983,1539,10440,5,650,1904,157500,1,1,1
1134,656,2005,2504,11198,9,1122,2005,325000,1,1,1
747,528,1953,747,5825,4,600,1926,79900,1,1,0
1108,583,1998,2097,9750,7,1108,1998,274300,1,1,1
3138,884,2007,4676,40094,10,3138,2007,184750,1,1,1
786,624,1999,1176,6000,6,698,1937,134900,1,1,0
720,0,0,720,7879,4,720,1920,34900,1,0,1
1580,830,2008,1580,11932,8,1580,2007,235128,1,1,1
1440,0,0,1440,7711,4,1440,1977,150000,1,0,0
738,540,2005,1476,8633,6,738,2005,173500,1,1,1
1500,570,2004,1500,8487,7,1500,2004,190000,1,1,1
884,216,1960,1348,6000,5,884,1925,117000,1,1,0
1200,884,1977,1200,9230,5,864,1965,146000,1,1,1
1394,514,1963,1394,9500,6,1394,1963,159000,1,1,1
800,484,1966,1632,9130,6,800,1966,173000,1,1,1
912,336,1974,912,8521,5,912,1967,125000,1,1,0
1370,864,1918,2624,22420,6,1370,1918,239000,1,1,0
1696,349,1962,1696,13673,5,1140,1962,143900,1,1,1
682,440,1966,1230,10440,5,440,1910,110000,1,1,0
1549,440,1932,2727,10570,8,853,1932,315000,1,1,1
728,429,2006,1456,15578,6,728,2006,172785,1,1,0
864,660,1989,864,6960,4,864,1970,120500,1,1,0
970,380,2004,1709,2522,6,970,2004,130000,1,1,1
810,528,2001,1665,8400,8,810,2001,227000,1,1,1
1372,656,1993,2646,9900,7,1347,1993,260000,1,1,1
798,595,2003,1640,7226,7,798,2003,183000,1,1,1
1014,420,1920,1699,10615,3,978,1900,95000,1,1,1
1663,529,1954,1663,53227,4,1364,1954,256000,1,1,1
1728,504,1963,1728,9100,5,1728,1963,125000,1,1,0
1055,462,1992,1845,11218,6,1055,1992,189000,1,1,1
1020,440,1964,1851,9760,6,822,1964,187000,1,1,1
1489,776,2006,1489,11216,8,1489,2006,232600,1,1,1
864,300,2008,864,9100,6,864,1959,127500,1,1,0
1256,276,1965,1256,9937,5,1256,1965,147500,1,1,1
816,816,1985,816,6600,5,816,1982,138000,1,1,0
902,492,1965,1820,13700,7,864,1965,201800,1,1,1
912,833,1991,2127,13125,7,1104,1991,238000,1,1,1
1065,461,1974,1065,8892,5,1065,1960,126500,1,1,0
1200,312,1923,1200,11340,6,1200,1923,125000,1,1,0
1208,632,2006,1208,6762,7,1187,2006,206000,1,1,1
1133,642,2005,2482,12665,8,1094,2005,281213,1,1,1
1720,527,1996,1720,10593,7,1720,1996,260400,1,1,1
840,0,0,840,4388,5,672,1930,87000,1,0,0
1294,496,1991,1294,7153,6,1278,1991,179200,1,1,1
1090,450,2005,1090,7024,5,1090,2005,157000,1,1,1
1165,420,1998,2263,12090,8,1141,1998,258000,1,1,1
969,440,1975,969,10356,5,969,1975,122000,1,1,0
894,1248,1994,894,18000,3,894,1935,81000,1,1,1
1028,360,1927,1028,8960,5,1008,1927,115000,1,1,0
979,492,1946,1958,7136,6,979,1946,145000,1,1,0
1795,895,2007,1795,9986,8,1795,2006,147000,1,1,1
1940,606,2010,1940,10159,9,1930,2009,395192,1,1,1
1178,439,1973,1178,10000,5,1176,1973,157000,1,1,0
810,400,1934,1482,12155,6,672,1925,140000,1,1,0
1428,554,2008,1428,12274,7,1417,2008,227680,1,1,1
864,338,1972,864,15523,5,864,1972,133500,1,1,0
616,200,1941,1111,9084,5,616,1941,95000,1,1,0
680,420,1993,1470,9765,6,680,1993,185000,1,1,1
1116,440,1962,1116,10000,6,1116,1962,160000,1,1,0
864,288,1959,864,7332,6,864,1959,120000,1,1,0
1297,498,1954,1297,8532,5,1297,1954,153000,1,1,0
1113,264,1950,1113,9600,5,1113,1950,147000,1,1,1
1501,577,1999,1501,10335,7,1490,1999,204000,1,1,1
764,614,2009,1547,8640,7,756,2009,215200,1,1,1
991,678,2004,1947,12552,7,991,2004,254900,1,1,1
1717,908,2006,1717,11146,8,1709,2006,255500,1,1,1
1052,440,1971,1052,8816,6,1010,1971,155000,1,1,0
1127,455,1997,2013,9920,7,1117,1996,269790,1,1,1
1266,388,2007,1266,3182,7,1266,2007,159895,1,1,1
1992,716,2005,2868,16056,9,1992,2005,556581,1,1,1
980,554,2000,2256,8795,7,952,2000,236000,1,1,1
1414,494,2004,1414,8773,7,1414,2004,185500,1,1,1
936,471,1994,1721,8462,6,928,1994,201000,1,1,1
811,434,1975,1552,11475,6,713,1975,179900,1,1,1
698,528,1980,1128,7500,4,698,1920,68400,1,1,0
1118,358,1977,1118,9880,6,1096,1977,171000,1,1,0
1728,574,1976,1728,12640,6,1728,1976,150900,1,1,0
1686,711,1994,2448,46589,8,1629,1994,402000,1,1,1
1473,452,1968,1473,25095,5,1437,1968,143000,1,1,1
1187,400,1990,1717,13758,7,1156,1990,187500,1,1,1
1166,400,2005,1166,9587,7,856,2005,190000,1,1,0
1370,484,2006,1370,6442,8,1370,2006,202500,1,1,1
1724,480,1967,1724,17871,6,1680,1967,197900,1,1,0
970,380,2004,1709,2522,7,970,2004,130000,1,1,1
483,264,1971,987,1680,6,483,1971,89500,1,1,0
901,216,1920,1802,7588,7,793,1920,200100,1,1,0
1170,360,1932,2345,16560,6,952,1932,239000,1,1,0
1068,264,1963,1068,8414,6,1059,1963,154500,1,1,0
1617,533,1993,1617,8012,6,1604,1993,193000,1,1,1
1244,336,1957,1244,11988,6,1244,1957,150000,1,1,1
1180,252,1922,1180,11600,4,700,1922,137500,1,1,0
520,480,2005,1223,2544,7,600,2005,147400,1,1,1
1686,612,1980,1686,10240,6,1686,1980,207500,1,1,1
1646,800,2008,1646,9520,8,1638,2007,293077,1,1,1
1144,264,1961,1144,10000,5,864,1961,131400,1,1,0
939,639,2006,1797,9245,7,939,2006,213500,1,1,1
1224,462,1962,1224,9842,4,0,1962,101800,0,1,0
992,839,2000,1865,10316,7,992,2000,235000,1,1,1
1056,308,1958,1056,8176,5,1056,1958,139000,1,1,0
1966,820,2009,3140,13518,9,1926,2008,485000,1,1,1
1212,492,1978,1212,8471,6,506,1977,151000,1,1,1
1694,636,2004,1694,10084,8,1686,2004,307000,1,1,1
802,413,1997,1511,11207,6,802,1997,185000,1,1,1
1057,246,1953,1057,7922,5,1057,1953,109000,1,1,1
1246,560,1971,2290,11340,4,777,1885,122500,1,1,0
1377,786,1988,2183,13837,7,1204,1988,229000,1,1,0
1699,594,1990,3222,12376,7,1673,1990,320000,1,1,0
909,512,1996,1716,8750,7,880,1996,191000,1,1,1
1342,457,1967,1342,9790,6,1372,1967,161500,1,1,0
1504,437,2005,1504,3182,7,1346,2005,191000,1,1,1
1053,648,2003,1992,9375,8,1053,2003,250000,1,1,1
624,462,1999,1252,2160,7,600,1999,160000,1,1,1
999,264,1963,999,7758,5,999,1962,132500,1,1,1
741,528,1966,1363,7740,4,622,1910,125500,1,1,0
1165,490,1966,1165,9020,6,1127,1966,174900,1,1,1
1668,702,2002,1668,11248,9,1626,2002,285000,1,1,1
